"order_id","customer_name","city","state","order_date","total_unit","revenue","product_name","category_name","store_name","sale_rep"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01",2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01",1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01",2,3098.0,"Surly Straggler - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01",1,2899.99,"Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
1,"Johnathan Velazquez","Pleasanton","CA","2016-01-01",2,3599.98,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland"
2,"Jaqueline Cummings","Huntington Station","NY","2016-01-01",2,1199.98,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
2,"Jaqueline Cummings","Huntington Station","NY","2016-01-01",1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer"
3,"Joshua Robertson","Patchogue","NY","2016-01-02",1,599.99,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel"
3,"Joshua Robertson","Patchogue","NY","2016-01-02",1,999.99,"Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel"
4,"Nova Hess","Duarte","CA","2016-01-03",2,1499.98,"Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano"
